"Town","FIPS","Year","Gender","Measure Type","Variable","Value"
"Ansonia","0900901220","2014-2018","Male","Percent","Employed or Enrolled Youth",96.4
"Ansonia","0900901220","2014-2018","Male","Percent","Margins of Error",54.44
"Ashford","0901501430","2006-2010","Total","Number","Employed or Enrolled Youth",169
"Ashford","0901501430","2006-2010","Total","Number","Margins of Error",223
"Ashford","0901501430","2006-2010","Total","Percent","Employed or Enrolled Youth",78.6
"Ashford","0901501430","2006-2010","Total","Percent","Margins of Error",109.89
"Ashford","0901501430","2006-2010","Female","Number","Employed or Enrolled Youth",84
"Ashford","0901501430","2006-2010","Female","Number","Margins of Error",132
"Ashford","0901501430","2006-2010","Female","Percent","Employed or Enrolled Youth",64.62
"Ashford","0901501430","2006-2010","Female","Percent","Margins of Error",108.59
"Ashford","0901501430","2006-2010","Male","Number","Employed or Enrolled Youth",85
"Ashford","0901501430","2006-2010","Male","Number","Margins of Error",180
"Ashford","0901501430","2006-2010","Male","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2006-2010","Male","Percent","Margins of Error",219.68
"Ashford","0901501430","2007-2011","Total","Number","Employed or Enrolled Youth",210
"Ashford","0901501430","2007-2011","Total","Number","Margins of Error",154
"Ashford","0901501430","2007-2011","Total","Percent","Employed or Enrolled Youth",97.67
"Ashford","0901501430","2007-2011","Total","Percent","Margins of Error",82.3
"Ashford","0901501430","2007-2011","Female","Number","Employed or Enrolled Youth",102
"Ashford","0901501430","2007-2011","Female","Number","Margins of Error",107
"Ashford","0901501430","2007-2011","Female","Percent","Employed or Enrolled Youth",95.33
"Ashford","0901501430","2007-2011","Female","Percent","Margins of Error",112.44
"Ashford","0901501430","2007-2011","Male","Number","Employed or Enrolled Youth",108
"Ashford","0901501430","2007-2011","Male","Number","Margins of Error",110
"Ashford","0901501430","2007-2011","Male","Percent","Employed or Enrolled Youth",100
"Ashford","0901501430","2007-2011","Male","Percent","Margins of Error",116.25
"Ashford","0901501430","2008-2012","Total","Number","Employed or Enrolled Youth",227
"Ashford","0901501430","2008-2012","Total","Number","Margins of Error",83
"Ashford","0901501430","2008-2012","Total","Percent","Employed or Enrolled Youth",98.27
"Ashford","0901501430","2008-2012","Total","Percent","Margins of Error",47.75
"Ashford","0901501430","2008-2012","Female","Number","Employed or Enrolled Youth",87
"Ashford","0901501430","2008-2012","Female","Number","Margins of Error",48
